28/03/2025,,29/03/2025,,30/03/2025,,12/04/2025,,13/04/2025,,14/04/2025,
玩家id,重连次数,玩家id,重连次数,玩家id,重连次数,玩家id,重连次数,玩家id,重连次数,玩家id,重连次数
9496107,31,9949611,45,9239996,171,2921440,52,3910996,87,9949611,34
3337871,20,4362526,42,11112179,47,2722614,33,3048089,36,2306789,19
10499821,20,2722614,33,7910559,37,6065925,29,9949611,28,5466829,16
2138073,18,2761668,27,11514995,33,7850367,22,5625845,25,5168477,16
3599998,17,11574137,25,11552794,29,10403212,20,5168477,24,5625845,16
8812524,16,2515156,24,2306789,24,6131242,20,8925392,19,4890560,15
4722221,16,4794003,22,3048089,23,9949611,18,5466829,17,10324497,15
4890560,15,4394610,21,9949611,22,3048089,18,2508046,16,2921440,12
10390257,14,11101298,19,5199975,22,11896493,18,2537234,14,7875322,12
3048089,14,11552794,19,3010170,21,8812524,18,6789578,13,7038964,12
6432092,14,6860940,18,5155785,21,6162806,18,8531983,13,9527317,11
4774158,14,4235536,17,4544926,20,4890560,17,7875322,13,9710975,11
11060789,13,5642107,16,9496107,19,9892609,15,9892609,12,8046653,11
2538863,13,2061857,15,8544498,17,2648899,15,2306789,12,7561514,11
11172099,13,2138073,13,6755727,16,2306789,14,8344041,11,2050084,11
9284594,12,6131242,13,10351627,15,5466829,13,2405304,11,3887572,11
2374944,12,6220241,13,8878798,15,7464134,13,10743425,11,10081756,10
7195164,12,9142639,13,5099680,15,6766144,13,4760853,11,7390090,10
4101481,12,9284594,12,7875322,14,2537234,13,3041996,11,2537234,10
10469662,11,3048089,12,7464134,14,2508046,12,2138073,10,11699172,10
7464134,10,5283937,11,2411743,14,3970167,12,11419514,10,11283554,10
10295639,10,7875322,11,5466829,12,11269592,12,11269592,10,9041779,10
7440728,10,11112179,11,10081756,12,5577816,11,9441897,10,7464134,9
10081756,10,2306789,10,2508046,12,7574951,11,10069903,9,6766144,9
5593666,10,9977115,10,5642107,12,9041779,11,2013509,9,3396571,9
2872180,10,6931678,9,8931579,12,7875322,11,5593666,9,10970734,9
5758937,10,8544498,9,3305535,12,9742427,10,11553118,9,7805397,8
10324497,10,9511300,9,7785551,12,6446474,10,10324497,9,8812524,8
3029002,10,6042868,9,2483501,12,9284594,10,9710975,8,5577816,8
3976509,10,8011065,9,4454787,11,6031643,10,4283431,8,8144123,8
7327896,9,9927075,9,3687300,11,7081566,10,11157102,8,3546458,8
2903705,9,4807900,9,3527140,11,2138073,10,5162761,8,5258879,8
4252599,9,10273441,8,7231227,11,10358850,9,8897470,8,6048908,8
3348153,9,7231227,8,6619163,11,7934388,9,6994125,8,10573102,7
7785551,9,5466829,8,11514194,10,7787125,9,4584667,8,9284594,7
10986041,9,5441355,8,6250271,10,3041996,9,4909228,8,6131242,7
8598248,9,4379620,8,11359440,10,2044151,8,8104351,8,6369908,7
2537419,8,9170488,8,3733440,10,6823805,8,6099635,8,3733440,7
3702418,8,3396571,8,11193466,10,2037617,8,7114575,8,4049951,7
4215415,8,6789578,8,11574137,10,4387757,8,7691841,7,8729057,7
9511300,8,10633264,8,2410518,10,3222441,8,3985183,7,3048089,7
10890914,8,2258780,8,11784446,10,8968358,8,10929716,7,7456005,7
2297655,8,6606817,8,2457161,10,8241204,8,11101298,7,6930826,6
6860940,8,4252770,8,6856367,10,4525599,8,7464134,7,10631954,6
11004393,8,4498151,8,10653997,10,7514208,8,3047809,7,7835503,6
3396571,8,10450232,8,5017084,9,6337720,8,8864884,7,2457161,6
8544498,8,2410518,7,4362526,9,9551730,8,5661826,7,10348499,6
10573102,8,8511353,7,8932920,9,3183345,8,10088190,7,6349159,6
6309043,8,6099635,7,6392629,9,10313516,8,2722614,7,6309043,6
6856367,8,4890560,7,9279817,9,10324497,8,6999744,7,3348153,6
6823805,8,5509252,7,2685490,9,3285968,7,5443029,7,6337720,6
4521320,8,9279817,7,9458919,9,11060789,7,2648899,7,10403212,6
3752149,7,3445972,7,8598248,9,6999744,7,9392894,7,6065925,6
5466829,7,8121738,7,9185359,8,4394610,7,8877060,7,9282954,6
5370287,7,10403212,7,10646539,8,3010170,7,8812524,7,11077595,6
8444286,7,2832475,7,9833624,8,10231082,7,5786217,7,5864497,6
8790938,7,11123457,7,9932648,8,8059138,7,3246236,7,8369529,6
