28/03/2025,,29/03/2025,,30/03/2025,,12/04/2025,,13/04/2025,,14/04/2025,
玩家id,重连次数,玩家id,重连次数,玩家id,重连次数,玩家id,重连次数,玩家id,重连次数,玩家id,重连次数
4890560,34,9949611,52,9239996,175,2921440,55,3910996,89,2306789,52
9496107,31,4362526,50,11112179,51,2722614,36,5466829,48,9949611,42
11060789,26,5466829,37,2306789,50,5466829,36,3048089,38,5466829,41
3337871,25,2722614,35,5466829,38,2306789,34,2306789,35,4890560,39
10390257,25,4394610,32,7910559,38,6065925,32,9949611,34,10081756,27
9284594,24,2761668,27,11514995,33,4890560,30,5625845,28,7390090,23
5466829,24,11574137,26,11552794,31,8812524,28,5168477,28,9527317,23
8812524,24,2515156,26,5199975,29,7850367,25,10081756,21,5168477,20
2138073,21,4890560,26,9949611,28,9949611,25,7875322,20,8812524,19
11172099,20,5642107,25,3010170,26,6131242,25,4283431,19,7875322,19
10499821,20,2306789,24,3048089,26,6766144,23,8925392,19,6766144,18
10081756,19,11552794,24,7464134,24,10403212,22,4890560,19,7415391,18
4722221,19,6860940,23,7416075,24,7464134,22,9527317,18,2920213,18
2374944,19,2399183,23,5155785,23,9284594,22,11101298,18,5577816,17
10469662,18,4235536,22,10358850,23,2648899,22,2508046,17,5625845,17
7028938,18,4794003,22,4544926,23,7574951,21,5661826,17,10324497,16
3599998,18,11101298,22,7875322,23,7875322,21,5441355,17,6337720,16
7327896,18,9284594,20,10081756,21,9753479,20,8736446,17,4776402,16
4776579,18,6131242,19,8544498,20,10358850,20,9441897,16,10416220,15
2903705,17,2061857,18,9496107,19,6992250,19,4964373,16,9284594,15
3752149,17,8736446,18,11193466,18,6162806,19,8322005,16,6352394,15
7464134,17,9142639,17,10351627,18,9892609,19,4760853,16,3887572,14
5813384,17,9511300,17,3733440,18,3048089,19,5808472,16,7464134,14
5758937,17,8636749,17,5642107,18,11896493,19,6350157,16,2457161,14
3048089,16,11379136,16,8390117,18,6823805,18,5443029,16,4283431,14
2537419,16,10358850,16,8932920,17,7612900,18,8344041,16,8916696,14
11379136,16,8011065,15,2457161,17,2457161,18,6789578,15,6637598,14
6432092,16,5813384,15,9185359,17,2037617,18,2537234,15,9663548,14
3702418,16,5661826,15,4776579,17,5577816,17,9284594,15,9710975,14
2538863,16,6220241,15,8878798,16,8059138,17,4584667,15,7561514,14
2306789,15,2405304,15,6755727,16,9742427,17,2716975,15,4964373,13
4237658,15,2138073,15,6823805,16,2537234,16,2405304,15,2537234,13
4101481,15,4379620,15,9279817,16,11060789,16,7336914,15,6823805,13
2872180,15,9572832,15,3305535,16,8108048,16,11419514,15,3396571,13
3292605,15,7875322,15,3687300,16,3970167,16,7416075,15,8011065,13
9480778,15,311050,14,5099680,16,8736446,16,2920213,15,7612900,13
6823805,14,11193466,14,2411743,16,9959955,15,11836847,14,11283554,13
7195164,14,10714390,14,8736446,16,3669697,15,10502178,14,5044550,13
5661826,14,6741108,14,11574137,15,7390090,15,4940020,14,8046653,13
6673236,14,11149157,14,6392629,15,4760853,15,8750258,14,9041779,13
9606605,14,11497984,14,7231227,15,2385776,14,9264397,14,10348499,13
4774158,14,9279817,14,5661826,15,10081756,14,9753479,14,4564465,13
6296566,14,2410518,14,6352394,15,9041779,14,9892609,14,7013210,13
6183436,13,3292605,14,2631221,15,6446474,14,8531983,14,10573102,13
6563419,13,7013210,14,3868851,14,7787125,14,10069903,14,5775816,13
7516774,13,11855008,14,2137420,14,2389307,14,8870505,14,3805848,12
3787124,13,8549354,14,8931579,14,2138073,14,11817641,14,9753479,12
9185359,13,5441355,14,2410518,14,8408237,14,8011065,13,8968358,12
8108048,13,4776579,14,3292605,14,6337720,14,3041996,13,11938676,12
2923396,13,9801664,14,10033968,14,8344041,14,7390090,13,9886311,12
4155921,13,10273441,13,9932648,14,4964373,13,8978243,13,2923396,12
4064265,13,9977115,13,4283431,14,3868851,13,8916696,13,7038964,12
10324497,13,6823805,13,6768750,14,11269592,13,9606605,13,2921440,12
5098447,13,4807900,13,5017084,14,3285968,13,10102555,13,7416075,12
10102555,13,5044550,13,3947417,14,8968358,13,2648899,13,3827026,12
5938656,13,10033968,13,4396600,14,9511300,13,4559392,13,11795877,11
3348153,13,3048089,13,11337438,13,7013210,13,311050,12,3632030,11
7440728,13,7390090,13,2483501,13,5808472,13,5886286,12,10502178,11
10839340,12,6603178,13,6250271,13,2044151,13,5880002,12,10720484,11
2297655,12,4678824,13,4581440,13,6350157,13,6823805,12,8108048,11
6211237,12,5443029,13,9337814,13,11795877,12,2177493,12,7835503,11
8011065,12,7378157,13,4454787,13,6741108,12,7464134,12,7594422,11
3029002,12,3679262,13,3741514,13,11909508,12,11435543,12,8667078,11
4947390,12,7405989,12,5733690,13,4143016,12,6766144,12,11675050,11
10295639,12,11677287,12,2508046,13,7081566,12,4909228,12,7542191,11
4283431,12,2903705,12,5813384,13,6222383,12,6032907,12,10651590,11
11239281,12,516748,12,7785551,13,4564465,12,10743425,12,4049951,11
8916696,12,11909508,12,6350157,13,4394610,12,3302736,12,7677802,11
5593666,12,8242849,12,8916696,13,2508046,12,4564465,12,6704645,11
9220898,12,9927075,12,3527140,13,8390117,12,5407786,12,8408237,11
6309043,11,4735241,12,8334693,13,5443029,12,6131242,12,11461037,11
6860940,11,3660864,12,9458919,13,6031643,12,8390117,12,7805397,11
5577816,11,4614734,12,5532469,13,6999744,12,6637598,12,11564716,11
311050,11,9480778,12,3679262,13,10706457,12,6248510,12,6926408,11
11177832,11,2764427,12,2385776,12,7416075,12,7629234,12,9572832,11
8093362,11,7629234,12,9833624,12,3534200,12,2138073,12,10581456,11
2137420,11,5098447,12,6536186,12,5775816,12,3426245,12,2050084,11
3396571,11,6926408,12,6741108,12,7456005,12,9572832,12,11115786,11
11545296,11,2880514,12,7594545,12,2920213,12,4212252,12,4015690,11
5044550,11,11112179,12,10131051,12,2622862,12,11833671,11,10469662,10
3805848,11,6036559,12,10646539,12,5818976,11,10714390,11,11842847,10
11994945,11,6099635,11,2490595,12,4387757,11,7158125,11,11699172,10
7165209,11,9033182,11,2471415,12,3779136,11,6741108,11,9391696,10
5319198,11,6789578,11,4362526,12,7028938,11,10130907,11,6763522,10
9511300,11,11577442,11,4614734,12,2490595,11,9068295,11,5145381,10
7013210,11,3868851,11,6619163,12,7727212,11,11677287,11,9068295,10
9275599,11,5283937,11,8245513,12,8795091,11,7757562,11,10403212,10
10986041,11,10351627,11,11564716,12,8011065,11,9227613,11,11677287,10
10890914,11,2067312,11,4890560,12,2388607,11,7648056,11,9282954,10
7416075,11,8870182,11,6043341,12,6141586,11,9959955,11,11214628,10
10573102,11,10720484,11,11115786,12,10720484,11,5044550,11,8144123,10
3173164,11,2635247,11,6860940,11,3013019,11,2457161,11,11416127,10
7875322,11,5615418,11,7225747,11,5733690,11,2920009,11,3733440,10
10304752,10,8906261,11,10714390,11,5661826,11,3292605,11,8322005,10
10709267,10,10890398,11,10588452,11,11675050,11,8104351,11,5919031,10
6992250,10,7231227,11,4237658,11,11855008,11,4394610,11,8728393,10
8309151,10,2923396,11,8795091,11,9160295,11,8108048,11,3770673,10
6741108,10,5808472,11,7612900,11,2526342,11,8178283,11,6131242,10
3868851,10,5402186,11,8598248,11,4503217,11,8812524,11,5441355,10
2253471,10,3687300,11,9959955,11,11564716,11,8803400,11,8059138,10
2051026,10,8121738,11,5720084,11,3183345,11,9623792,11,5593666,10
8729057,10,8895635,11,11514194,11,10829207,11,8059138,11,5443029,10
3398534,10,11138163,11,2059564,11,2880514,11,5593666,11,9606605,10
7612900,10,5329921,11,11784446,11,10894732,11,4358061,11,10631954,10
3673207,10,5775816,11,8069132,11,4015690,11,9710975,11,6349159,10
6073381,10,8310492,11,10531522,11,10005304,10,10706457,11,10228477,10
5733690,10,3173164,11,2892359,11,11177832,10,3985183,11,10102555,10
2892359,10,2743150,11,8762075,11,7158125,10,7415391,11,5329921,10
7785551,10,3045152,10,2923396,11,2395954,10,3173164,11,6887048,10
4760853,10,10131051,10,5808472,11,11289192,10,10005304,10,3348153,10
8636749,10,2137420,10,9749350,11,11677287,10,5577816,10,7456005,10
4252599,10,10403212,10,4230596,11,5314377,10,8897470,10,3045152,9
6761907,10,8775724,10,5443029,11,2297655,10,11337438,10,5520116,9
8322649,10,2258780,10,6031643,11,2299472,10,11269592,10,6995243,9
7416659,10,8511353,10,9606605,11,8122407,10,3993201,10,4387757,9
4858894,10,7464134,10,10102555,11,4940020,10,10267134,10,11337438,9
6721936,10,7612900,10,11138163,11,5044550,10,3932332,10,6789578,9
4215415,10,6766144,10,6632712,11,9071878,10,7612900,10,7158125,9
5957081,10,3733440,10,5775816,11,3673207,10,11545296,10,6741108,9
7234082,10,7492292,10,7415391,11,3292605,10,3733440,10,6092436,9
6926408,10,3805848,10,11101298,11,11994945,10,9140617,10,8729057,9
3976509,10,9753479,10,7958716,11,5157819,10,10033968,10,2490595,9
4776402,10,4584667,10,6786900,10,9886311,10,11994945,10,8122407,9
8736446,10,9204079,10,6856367,10,5319198,10,3298519,10,2993901,9
8444286,10,10854240,10,3049140,10,9056583,10,11045603,10,6369908,9
4311614,10,6616265,10,6992250,10,3131677,10,2013509,10,7063262,9
3887572,9,6904561,10,7271115,10,5441355,10,2923396,10,9959955,9
4384415,9,11994945,10,9977115,10,8121738,10,3129244,10,8453323,9
3782793,9,9749854,10,3078000,10,7050305,10,6008874,10,4394610,9
6995243,9,8108048,10,11909508,10,4230596,10,4783647,10,3718973,9
6644217,9,10077766,10,7546507,10,5593666,10,10960804,10,5661826,9
11423043,9,5102202,10,9284594,10,6248510,10,6994125,10,10838979,9
11638965,9,5773639,10,11214628,10,7514208,10,8033865,10,10970734,9
9391696,9,9056583,10,2872180,10,3018150,10,6830608,10,11653165,9
8790938,9,10020674,10,6563419,10,10102555,10,3534200,10,5753000,9
9752265,9,8544498,10,7906307,10,8870505,10,11174699,10,10020674,9
4143016,9,6768750,10,2902510,10,5012506,10,5938656,10,8369529,9
